ticker,ID_ISIN,name,GICS_SECTOR_NAME,weight,shares,price,snapshot_date,ticker_bb,ticker_base,ticker_alt,merge_key,esg_score_raw,sector_pct_rank,in_esg_universe
BVI FP Equity,FR0006174348,Bureau Veritas SA,Industrials,0.00153084,294.013325,25.12,2023-06-30,BVI FP,BVI FP,BVI FP,BVI FP,14.07980125,0.10810810810810811,True
METSO FH Equity,FI0009014575,Metso Oyj,Industrials,0.00151823,663.177952,11.045,2023-06-30,METSO FH,METSO FH,METSO FH,METSO FH,7.694750281,0.9459459459459459,False
GBLB BB Equity,BE0003797140,Groupe Bruxelles Lambert NV,Financials,0.00148745,99.45,72.16,2023-06-30,GBLB BB,GBLB BB,GBLB BB,GBLB BB,12.57657661,0.21951219512195122,True
JMT PL Equity,PTJMT0AE0001,Jeronimo Martins SGPS SA,Consumer Staples,0.00148148,283.181949,25.24,2023-06-30,JMT PL,JMT PL,JMT PL,JMT PL,13.32359169,0.125,True
FGR FP Equity,FR0000130452,Eiffage SA,Industrials,0.00145612,73.5,95.58,2023-06-30,FGR FP,FGR FP,FGR FP,FGR FP,9.626494236,0.7837837837837838,False
DHER GY Equity,DE000A2E4K43,Delivery Hero SE,Consumer Discretionary,0.00145226,173.406814,40.405,2023-06-30,DHER GY,DHER GY,DHER GR,DHER GR,8.495688018,0.8461538461538461,False
ELISA FH Equity,FI0009007884,Elisa Oyj,Communication Services,0.00144282,142.234812,48.94,2023-06-30,ELISA FH,ELISA FH,ELISA FH,ELISA FH,9.478951142,0.7692307692307693,False
ACS SQ Equity,ES0167050915,ACS Actividades de Construccion y Servicios SA,Industrials,0.00139109,208.623446,32.17,2023-06-30,ACS SQ,ACS SQ,ACS SM,ACS SM,10.29703193,0.6486486486486487,False
CPR IM Equity,NL0015435975,Davide Campari-Milano NV,Consumer Staples,0.00137491,522.72,12.69,2023-06-30,CPR IM,CPR IM,CPR IM,CPR IM,11.26300546,0.5,False
TEN IM Equity,LU2598331598,Tenaris SA,Energy,0.00134239,472.2148,13.715,2023-06-30,TEN IM,TEN IM,TEN IM,TEN IM,9.047814223,1.0,False
EN FP Equity,FR0000120503,Bouygues SA,Industrials,0.0013131899999999,205.967727,30.76,2023-06-30,EN FP,EN FP,EN FP,EN FP,9.626494236,0.8108108108108109,False
DIM FP Equity,FR0013154002,Sartorius Stedim Biotech,Health Care,0.00131089,27.654057,228.7,2023-06-30,DIM FP,DIM FP,DIM FP,DIM FP,6.701745881,0.9523809523809523,False
AC FP Equity,FR0000120404,Accor SA,Consumer Discretionary,0.00129832,184.122256,34.02,2023-06-30,AC FP,AC FP,AC FP,AC FP,13.4706181,0.15384615384615385,True
RED SQ Equity,ES0173093024,Redeia Corp SA,Utilities,0.00129408,405.81,15.385,2023-06-30,RED SQ,RED SQ,RED SM,RED SM,13.01039182,0.3157894736842105,False
ELE SQ Equity,ES0130670112,Endesa SA,Utilities,0.00129366,317.625635,19.65,2023-06-30,ELE SQ,ELE SQ,ELE SM,ELE SM,13.26065166,0.10526315789473684,True
STERV FH Equity,FI0009005961,Stora Enso Oyj,Materials,0.00128121,581.765687,10.625,2023-06-30,STERV FH,STERV FH,STERV FH,STERV FH,10.85632212,0.35294117647058826,False
MB IM Equity,IT0000062957,Mediobanca Banca di Credito Finanziario SpA,Financials,0.00125402,552.017358,10.96,2023-06-30,MB IM,MB IM,MB IM,MB IM,11.09612043,0.6097560975609756,False
VIV FP Equity,FR0000127771,Vivendi SE,Communication Services,0.00124903,716.868567,8.406,2023-06-30,VIV FP,VIV FP,VIV FP,VIV FP,10.79695626,0.3076923076923077,False
AGS BB Equity,BE0974264930,Ageas SA/NV,Financials,0.00124048,161.271509,37.11,2023-06-30,AGS BB,AGS BB,AGS BB,AGS BB,11.50011201,0.5365853658536586,False
ZAL GY Equity,DE000ZAL1111,Zalando SE,Consumer Discretionary,0.00122401,224.025087,26.36,2023-06-30,ZAL GY,ZAL GY,ZAL GR,ZAL GR,11.12447904,0.46153846153846156,False
PUM GY Equity,DE0006969603,Puma SE,Consumer Discretionary,0.00120621,105.577248,55.12,2023-06-30,PUM GY,PUM GY,PUM GR,PUM GR,11.15506326,0.4230769230769231,False
G1A GY Equity,DE0006602006,GEA Group AG,Industrials,0.00120273,151.465868,38.31,2023-06-30,G1A GY,G1A GY,G1A GR,G1A GR,14.44319752,0.08108108108108109,True
